Έτος,Θάνατοι,"Θάνατοι / 1,000",Θάνατοι κάτω 1,"Θάνατοι κάτω 1 / 1,000"
1932,117593,17.97,22785,122.81
1933,111447,16.82,23268,122.73
1934,100651,14.96,23329,111.66
1935,101416,14.83,21708,112.76
1936,105005,15.14,22074,114.17
1937,105674,15.04,22469,122.2
1938,93766,13.17,18345,99.43
1939,100459,13.91,21132,118.15
1940,93830,12.82,                         -,                                     -
1955,54781,6.88,6713,43.52
1956,59460,7.4,6128,38.74
1957,61664,7.62,6884,44.15
1958,58160,7.12,6063,39.03
1959,60852,7.37,6510,40.64
1960,60563,7.27,6300,40.07
1961,63955,7.62,6006,39.85
1962,66554,7.88,6144,40.38
1963,66813,7.88,5825,39.29
1964,69429,8.16,5488,35.84
1965,67269,7.87,5194,34.3
1966,67912,7.88,5253,33.98
1967,71975,8.26,5590,34.33
1968,73309,8.39,5518,34.41
1969,71825,8.19,4899,31.8
1970,74009,8.42,4290,29.6
1971,73819,8.36,3797,26.91
1972,76859,8.65,3851,27.33
1973,77648,8.7,3320,24.14
1974,76303,8.51,3448,23.93
1975,80077,8.85,3409,23.96
1976,81818,8.93,3300,22.52
1977,83750,9,2927,20.36
1978,81615,8.65,2833,19.33
1979,82338,8.62,2772,18.73
1980,87282,9.05,2658,17.94
1981,86261,8.87,2294,16.27
1982,86345,8.82,2076,15.12
1983,90586,9.2,1932,14.57
1984,88397,8.93,1803,14.34
1985,92886,9.35,1647,14.14
1986,91783,9.21,1381,12.24
1987,95656,9.56,1247,11.72
1988,92407,9.21,1187,11.04
1989,92720,9.19,989,9.73
1990,94152,9.27,993,9.71
1991,95498,9.31,927,9.03
1992,98231,9.47,871,8.37
1993,97419,9.31,864,8.49
1994,97807,9.27,823,7.93
1995,100158,9.42,827,8.15
1996,100740,9.41,730,7.25
1997,99738,9.26,657,6.44
1998,102668,9.48,674,6.68
1999,103304,9.49,619,6.15
2000,105170,9.63,561,5.43
2001,102559,9.37,522,5.1
2002,103915,9.46,530,5.12
2003,105529,9.57,420,4.02
2004,104942,9.49,429,4.06
2005,105091,9.46,409,3.8
2006,105476,9.46,415,3.7
2007,109895,9.82,397,3.55
2008,107979,9.61,314,2.65
2009,108316,9.6,371,3.15
2010,109084,9.65,436,3.8
2011,111099,9.99,357,3.35
2012,116668,10.52,293,2.92
2013,111794,10.2,346,3.67
2014,113740,10.41,346,3.75
2015,121183,11.16,364,3.96
2016,118785,11.02,387,4.17
