keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
εκατοχρονίτικούς,0.375,0.0,0.75,0.125,0.3125,0.0,0.0,0.0,0.3125
επιδρομέων,0.25,0.0,0.5,0.1875,0.0625,0.25,0.0,0.0,0.25
άσεμνου,0.5,0.0,0.75,0.1875,0.375,0.0,0.0,0.0,0.0
πυρπολούσε,0.375,0.0,0.5,0.25,0.125,0.125,0.0,0.0,0.25
τζόβενο,0.625,0.0,0.75,0.1875,0.3125,0.0,0.0,0.0,0.25
βγαίνουν,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ξέχναγαν,0.375,0.0,0.5,0.1875,0.0625,0.0,0.0,0.1875,0.3125
κατασκεύαζε,0.25,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.1875
απαλύνανε,0.375,0.75,0.0,0.0,0.0,0.0,0.25,0.0625,0.0625
αλληθωρίζαμε,0.375,0.0,0.5,0.1875,0.1875,0.125,0.0,0.125,0.3125
πονοκεφαλιάζω,0.75,0.0,1.0,0.0625,0.4375,0.0,0.0,0.1875,0.375
αρχιτεκτόνισσας,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0625
κράταγαν,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
άσπονδοί,0.5,0.0,0.75,0.5,0.375,0.0625,0.0,0.125,0.125
στενοχώριές,0.875,0.25,0.75,0.0,0.0625,0.0,0.0,0.5625,0.1875
ταβερνόβιές,0.625,0.25,1.0,0.125,0.3125,0.0,0.0,0.0,0.125
συμπάσχοντάς,0.75,0.75,0.5,0.0,0.0,0.0,0.3125,0.3125,0.3125
κειμήλια,0.375,0.75,0.0,0.0,0.0,0.0625,0.375,0.0,0.3125
σχετικότατες,0.375,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.1875
ανοιγμένο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
περιβάλεις,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.1875
πολύξερών,0.5,0.25,0.75,0.25,0.375,0.0,0.0,0.0,0.3125
κατατρομαγμένο,0.75,0.0,1.0,0.25,0.0625,0.9375,0.0,0.0,0.6875
δείξε' τα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ένθερμο,0.5,0.75,0.0,0.0,0.0,0.0,0.4375,0.0,0.3125
καθορίσεις,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ωχριώντας,0.75,0.0,0.75,0.1875,0.125,0.1875,0.0,0.1875,0.375
διατεθειμένος,0.25,0.5,0.5,0.0,0.0,0.125,0.125,0.0,0.125
αβάπτιστου,0.25,0.5,0.5,0.375,0.4375,0.0,0.0,0.1875,0.4375
ξεκρέμαστός,0.375,0.0,0.75,0.25,0.0625,0.0,0.0,0.0,0.5
σκλαβωμένοι,0.75,1.0,1.0,0.25,0.375,0.25,0.375,0.0625,0.3125
εμφυσάτε,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25
εξυπνακίστικούς,0.875,0.0,1.0,0.3125,0.5,0.0,0.0,0.0,0.25
συμμετάσχει,0.25,0.5,0.0,0.0,0.0,0.0,0.3125,0.0,0.25
επισκεφτήκαμε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
έρωτας,0.75,1.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.3125
πραγματικότητάς,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μίλα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συνδεμένη,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.125
εγκάρδιοί,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.4375
αγάμητος,0.875,0.0,1.0,0.625,0.625,0.0,0.0,0.0,0.1875
κουκούλωνες,0.25,0.0,0.5,0.1875,0.375,0.0625,0.0,0.1875,0.3125
φερέφωνών,0.5,0.0,0.75,0.25,0.4375,0.125,0.0,0.0,0.125
ωμής,0.375,0.0,0.75,0.125,0.375,0.0,0.0,0.0,0.0625
φλεγόμαστε,0.375,0.25,0.75,0.375,0.1875,0.0,0.25,0.0,0.1875
στρεβλότατου,0.5,0.0,0.75,0.125,0.25,0.0,0.0,0.0,0.125
ειδοποιούσαν,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κεκράχτης,0.5,0.0,0.666666666667,0.166666666667,0.25,0.0,0.0,0.0,0.0833333333333
ατάραχων,0.625,0.5,0.75,0.125,0.125,0.0,0.0625,0.0,0.25
διακονιές,0.875,0.0,1.0,0.25,0.3125,0.0,0.0,0.1875,0.125
υποστάσεών,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ασφυκτικότερα,0.75,0.0,1.0,0.1875,0.25,0.375,0.0,0.1875,0.0625
ελεούμε,0.5,0.25,0.75,0.0,0.1875,0.0625,0.0,0.0,0.1875
τζόβενων,0.625,0.0,0.75,0.1875,0.3125,0.0,0.0,0.0,0.25
ευεξίας,0.75,1.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.4375
ικανότερος,0.5,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.375
αρναούτικος,0.375,0.0,0.75,0.375,0.375,0.125,0.0,0.0,0.0
καταλαβαίναμε,0.375,0.5,0.25,0.0,0.0,0.0,0.1875,0.0,0.0
στενοχωρημένο,0.875,0.25,0.75,0.0,0.0625,0.0,0.0,0.5625,0.1875
αφυπνίζαν,0.375,0.75,0.25,0.0,0.0,0.0,0.125,0.0,0.25
καρδιοχτύπησε,0.75,0.5,0.75,0.0,0.0625,0.375,0.25,0.0625,0.5
αναιδέστατη,0.833333333333,0.0,1.0,0.75,0.666666666667,0.166666666667,0.0,0.25,0.5
γενικοτέρου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λαχταρώ,0.875,0.75,0.5,0.0,0.0,0.4375,0.5,0.0,0.3125
προαισθανόμουν,0.625,0.5,0.75,0.0,0.0,0.25,0.1875,0.0625,0.25
εξωτερικεύουνε,0.375,0.75,0.25,0.0,0.0,0.0,0.3125,0.0,0.25
βαθιών,0.25,0.5,0.5,0.0625,0.125,0.0,0.0625,0.125,0.1875
στεγνότερη,0.375,0.0,0.5,0.0625,0.1875,0.0,0.0,0.0,0.125
ευτράπελοι,0.75,0.25,1.0,0.125,0.3125,0.0625,0.125,0.0625,0.4375
παραφερθούνε,0.5,0.0,0.75,0.4375,0.125,0.125,0.0,0.0625,0.3125
ηδονικός,0.75,0.5,0.5,0.0,0.125,0.0,0.3125,0.0,0.375
αναισχυντία,0.75,0.0,1.0,0.4375,0.5625,0.0,0.0,0.25,0.5
εκτεθειμένα,0.5,0.0,1.0,0.1875,0.25,0.4375,0.0,0.125,0.3125
φιλοξενούμε,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.125
έβγαιναν,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
έπαιζα,0.375,0.5,0.25,0.125,0.0,0.0,0.3125,0.0,0.125
ζεσταίνανε,0.125,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
συνεπαίρνουν,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5
λιμάρικής,0.875,0.0,1.0,0.375,0.4375,0.0,0.0,0.0,0.3125
γαμώτη,1.0,0.25,1.0,0.8125,0.5625,0.1875,0.1875,0.25,0.75
χαριτόβρυτός,0.75,0.25,0.75,0.125,0.25,0.0,0.125,0.0,0.0625
εξωστρέφεια,0.375,0.75,0.25,0.0,0.0,0.0,0.3125,0.0,0.3125
διασπείροντάς,0.375,0.5,0.75,0.125,0.25,0.3125,0.125,0.0625,0.1875
μαγκώναμε,0.375,0.0,0.75,0.0,0.125,0.125,0.0,0.0625,0.25
ερωτικέ,0.75,1.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.3125
μπαμπαλή,0.875,0.0,1.0,0.25,0.4375,0.0,0.0,0.0,0.25
ξεπατικωτούρα,0.375,0.0,0.75,0.1875,0.25,0.0,0.0,0.0,0.1875
κρυώσατε,0.5,0.0,1.0,0.0625,0.125,0.1875,0.0,0.1875,0.3125
ισοβίως,0.25,0.0,0.5,0.125,0.1875,0.1875,0.0,0.0,0.3125
βαριοί,0.5,0.0,1.0,0.0625,0.3125,0.0,0.0,0.5625,0.0625
συνετής,0.5,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.1875
νεφρά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μυϊκά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γυροφέρω,0.25,0.0,0.5,0.125,0.1875,0.0625,0.0,0.0,0.1875
κειμηλίου,0.375,0.75,0.0,0.0,0.0,0.0625,0.375,0.0,0.3125
φορτίσατε,0.375,0.25,0.75,0.1875,0.25,0.125,0.125,0.125,0.3125
φιλανθρωπότερες,0.625,0.75,0.0,0.0,0.0,0.0,0.3125,0.0,0.125
